date,y,y_pred
2015-07-01,20364038.0,12967313.843628112
2015-07-02,20737438.0,12380273.04247439
2015-07-03,19555130.0,11303455.709535616
2015-07-04,20402177.0,12545144.835142458
2015-07-05,20750743.0,12736823.614934258
2015-07-06,22517745.0,14276687.19108487
2015-07-07,21181823.0,13517412.360501045
2015-07-08,19088471.0,13263769.810408363
2015-07-09,19960597.0,12912579.421306044
2015-07-10,20165160.0,12095566.003213134
2015-07-11,19661638.0,13680388.525555583
2015-07-12,20215385.0,14217498.453395993
2015-07-13,20490531.0,16153121.170952205
2015-07-14,19668484.0,15751685.710781693
2015-07-15,19536504.0,15873497.767306563
2015-07-16,19633588.0,15894102.46015461
2015-07-17,18971541.0,15428970.333960686
2015-07-18,18344575.0,17400697.69755072
2015-07-19,18804725.0,18275268.475910917
2015-07-20,20326456.0,20544618.045480754
2015-07-21,19715802.0,20383809.64234103
2015-07-22,19517546.0,20708826.04124664
2015-07-23,19607219.0,20875366.924799643
2015-07-24,18627806.0,20485360.36768788
2015-07-25,19300490.0,22520297.228862733
2015-07-26,20393582.0,23366827.68074182
2015-07-27,20130375.0,25568808.1744372
2015-07-28,19878181.0,25219096.955828864
2015-07-29,27541011.0,25297311.46941507
2015-07-30,18481145.0,25147885.636710856
2015-07-31,17914903.0,24368214.589350384
2015-08-01,18168613.0,26007918.0518928
2015-08-02,19391468.0,26383558.74483928
2015-08-03,18937054.0,28099957.261143994
2015-08-04,20502711.0,27176394.482630115
2015-08-05,20233508.0,26664130.894768536
2015-08-06,20034590.0,25903533.549974144
2015-08-07,19092354.0,24493682.284919508
2015-08-08,19420692.0,25557413.202655613
2015-08-09,19682609.0,25345036.770040117
2015-08-10,19836249.0,26524828.297496572
2015-08-11,18344984.0,25043577.213931262
2015-08-12,19354570.0,24023842.081642635
2015-08-13,19142593.0,22800155.556678504
2015-08-14,19392303.0,20970134.72477172
2015-08-15,19258461.0,21725380.55111443
2015-08-16,19640102.0,21244302.826216213
2015-08-17,20289060.0,22251921.93329373
2015-08-18,20060120.0,20614925.70651724
2015-08-19,18867663.0,19518841.78109193
2015-08-20,19056020.0,18283518.43549079
2015-08-21,18884273.0,16495948.11494271
2015-08-22,18774833.0,17407237.766603522
2015-08-23,19867286.0,17114755.938456006
2015-08-24,20179188.0,18391456.082078848
2015-08-25,18539740.0,17015640.90570899
2015-08-26,18068841.0,16228236.658334982
2015-08-27,17835168.0,15327714.59852599
2015-08-28,17257786.0,13884768.608513122
2015-08-29,17809792.0,15205470.14512699
2015-08-30,18171711.0,15302821.460315518
2015-08-31,20535354.0,16995652.863476735
2015-09-01,18067601.0,15973114.513858123
2015-09-02,18405336.0,15532040.035373501
2015-09-03,17842176.0,14951264.253660657
2015-09-04,17467839.0,13788080.412274543
2015-09-05,17889601.0,15407477.526618639
2015-09-06,18984724.0,15742972.903019115
2015-09-07,19732067.0,17664935.657610875
2015-09-08,19633691.0,16779641.6044784
2015-09-09,18598040.0,16446549.843947511
2015-09-10,18045104.0,15931833.280969644
2015-09-11,18545589.0,14786429.831385065
2015-09-12,18921943.0,16441160.05668965
2015-09-13,19054571.0,16756721.395069951
2015-09-14,19209239.0,18661212.69897433
2015-09-15,19259534.0,17683651.04444431
2015-09-16,18089144.0,17250988.51496517
2015-09-17,18036358.0,16620790.640866399
2015-09-18,17584786.0,15340791.245384721
2015-09-19,17712219.0,16909842.268316764
2015-09-20,19452099.0,17117029.954118896
2015-09-21,20634380.0,18948401.350575402
2015-09-22,18669362.0,17855029.127464224
2015-09-23,19374816.0,17329745.770770025
2015-09-24,17764328.0,16619110.19904514
2015-09-25,17645706.0,15264542.020649165
2015-09-26,17917595.0,16829207.456328344
2015-09-27,18554386.0,17026441.469887327
2015-09-28,20175118.0,18895760.86550097
2015-09-29,17412353.0,17805640.92063066
2015-09-30,19557528.0,17310112.61750763
2015-10-01,18704051.0,16640159.502520787
2015-10-02,18364309.0,15326565.79426242
2015-10-03,18036007.0,16992861.456026778
2015-10-04,18803868.0,17273158.5763658
2015-10-05,19146525.0,19257541.7741561
2015-10-06,18109045.0,18229627.477333333
2015-10-07,18698394.0,17803073.500254143
2015-10-08,18916768.0,17192432.958440892
2015-10-09,18307000.0,15917720.26069099
2015-10-10,18793503.0,17663396.99058363
2015-10-11,18976895.0,17985582.891954046
2015-10-12,20130555.0,20026764.32510895
2015-10-13,19398331.0,18988059.57755895
2015-10-14,18638630.0,18545549.55620422
2015-10-15,18669929.0,17900486.044305995
2015-10-16,17729914.0,16565464.812143384
2015-10-17,17902906.0,18289337.10503924
2015-10-18,18891219.0,18553679.282827545
2015-10-19,21201043.0,20556706.275800094
2015-10-20,20528590.0,19420136.271845818
2015-10-21,21401602.0,18885245.503215473
2015-10-22,21315971.0,18142346.34768594
2015-10-23,18784151.0,16698498.031620996
2015-10-24,17399660.0,18368291.11345837
2015-10-25,19954819.0,18559541.463978387
2015-10-26,20392914.0,20526393.493588068
2015-10-27,20747825.0,19310788.24631346
2015-10-28,20334904.0,18718265.133903366
2015-10-29,18586647.0,17926750.529976778
2015-10-30,17961860.0,16435862.933675079
2015-10-31,17910504.0,18123641.464553613
2015-11-01,17763298.0,18321546.85197321
2015-11-02,21109666.0,20336845.917633742
2015-11-03,20868540.0,19128780.29181126
2015-11-04,19806825.0,18564214.80924731
2015-11-05,19507743.0,17805835.53338686
2015-11-06,17848974.0,16343144.324074168
2015-11-07,17332642.0,18115219.23904612
2015-11-08,18319734.0,18375100.58165759
2015-11-09,20552266.0,20481522.388926648
2015-11-10,19315622.0,19309833.18715186
2015-11-11,18988156.0,18787526.580707446
2015-11-12,18590630.0,18061867.325749833
2015-11-13,17860236.0,16612576.539461294
2015-11-14,17806236.0,18440607.96112781
2015-11-15,18870007.0,18721886.384411067
2015-11-16,20657921.0,20868338.043619506
2015-11-17,19579562.0,19673501.55569845
2015-11-18,19745609.0,19127867.228428192
2015-11-19,18971756.0,18365848.5810337
2015-11-20,17394951.0,16860069.240045868
2015-11-21,18765301.0,18676062.722690742
2015-11-22,19221630.0,18915270.60178009
2015-11-23,20393405.0,21045281.889002517
2015-11-24,19162233.0,19697062.51224982
2015-11-25,18568725.0,19014420.85415362
2015-11-26,17993586.0,18123116.69929257
2015-11-27,17705131.0,16501304.952723075
2015-11-28,18975958.0,18203037.8311048
2015-11-29,19117820.0,18337488.949994344
2015-11-30,21180335.0,20345023.388644513
2015-12-01,19895901.0,19012961.71160057
2015-12-02,17917915.0,18349290.861979295
2015-12-03,18221413.0,17492282.700228754
2015-12-04,17698714.0,15927328.549059499
2015-12-05,18003793.0,17650737.016486812
2015-12-06,18234703.0,17839701.125450503
2015-12-07,20874568.0,19884650.74328084
2015-12-08,19828780.0,18645242.180728782
2015-12-09,17819909.0,18070834.331047427
2015-12-10,16367743.0,17309902.337264568
2015-12-11,17311908.0,15853049.590563012
2015-12-12,16035196.0,17637167.61229985
2015-12-13,18152694.0,17906200.6458769
2015-12-14,19079271.0,19999821.129141755
2015-12-15,17082003.0,18849670.53073854
2015-12-16,17437719.0,18346610.597276427
2015-12-17,16312644.0,17649925.954756778
2015-12-18,16056841.0,16256491.576170802
2015-12-19,16413187.0,18045257.730732717
2015-12-20,16528858.0,18328761.308842212
2015-12-21,17619880.0,20398061.585962884
2015-12-22,17299761.0,19259159.62603481
2015-12-23,17595185.0,18746944.469622437
2015-12-24,17035246.0,18034099.667255968
2015-12-25,15866571.0,16626339.193881782
2015-12-26,17734171.0,18347131.29872074
2015-12-27,17275188.0,18579874.09766224
2015-12-28,18784420.0,20569015.585117336
2015-12-29,17368558.0,19396584.493335422
2015-12-30,17228537.0,18842775.46080293
2015-12-31,16839014.0,18094516.541835044
2016-01-01,16226325.0,16666745.048161235
2016-01-02,17465362.0,18327357.177635457
2016-01-03,17397299.0,18530050.610838626
2016-01-04,19077169.0,20471647.31150581
2016-01-05,18000248.0,19308769.61642441
2016-01-06,18212831.0,18765112.326434843
2016-01-07,17115893.0,18039731.772301834
2016-01-08,16222884.0,16654432.85607203
2016-01-09,16288228.0,18319024.125379026
2016-01-10,17141383.0,18554912.855989885
2016-01-11,18926389.0,20508719.159446515
2016-01-12,18289447.0,19409185.971223608
2016-01-13,16996678.0,18921223.97438867
2016-01-14,18010467.0,18254002.54241242
2016-01-15,17317613.0,16934520.045311224
2016-01-16,17994883.0,18613225.76325214
2016-01-17,18540990.0,18878416.091210175
2016-01-18,19257663.0,20826174.143335253
2016-01-19,19512926.0,19757532.145349566
2016-01-20,18588850.0,19279291.27097284
2016-01-21,18787547.0,18611899.893835116
2016-01-22,16741267.0,17289176.25037369
2016-01-23,17346910.0,18904250.776424274
2016-01-24,17441547.0,19114702.84112089
2016-01-25,19947747.0,20968752.871994838
2016-01-26,18476524.0,19842593.993751716
2016-01-27,19065944.0,19287895.98046877
2016-01-28,17160208.0,18539375.186884202
2016-01-29,17025052.0,17140572.090332985
2016-01-30,16940208.0,18630017.794315204
2016-01-31,18255565.0,18737019.31838119
2016-02-01,20135928.0,20464019.509010904
2016-02-02,18767382.0,19264023.186473582
2016-02-03,18693769.0,18634722.944690365
2016-02-04,18338803.0,17825715.88804653
2016-02-05,17709957.0,16390295.740807226
2016-02-06,18402911.0,17811840.219930854
2016-02-07,19184933.0,17890241.75007619
2016-02-08,20451615.0,19580463.197277617
2016-02-09,19420367.0,18410090.449762933
2016-02-10,17646633.0,17820148.1887181
2016-02-11,15775056.0,17072020.90287151
2016-02-12,16448837.0,15725365.884635024
2016-02-13,17354269.0,17204802.411908295
2016-02-14,18594281.0,17377089.677956738
2016-02-15,19883798.0,19145998.500506353
2016-02-16,20440632.0,18110093.492715996
2016-02-17,20031051.0,17650354.304824922
2016-02-18,18705113.0,17036904.088110954
2016-02-19,17653734.0,15833133.08009652
2016-02-20,17704382.0,17402783.961982295
2016-02-21,18479068.0,17677945.90969003
2016-02-22,20307686.0,19510298.198230393
2016-02-23,18999894.0,18569160.027211003
2016-02-24,18824359.0,18175936.113560826
2016-02-25,19212890.0,17610651.52886055
2016-02-26,17896173.0,16442264.652656883
2016-02-27,18595935.0,17976107.7440463
2016-02-28,19626236.0,18212637.400496725
2016-02-29,21384819.0,19954973.14030952
2016-03-01,19742613.0,18947122.826366775
2016-03-02,19455217.0,18455147.938032154
2016-03-03,20938224.0,17773390.404947475
2016-03-04,17824759.0,16480854.060965542
2016-03-05,19347314.0,17828876.496584177
2016-03-06,18307032.0,17890512.463057734
2016-03-07,19162407.0,19424247.985700004
2016-03-08,18196304.0,18252289.40303214
2016-03-09,17974357.0,17588347.051639654
2016-03-10,17123976.0,16743466.50676418
2016-03-11,15559551.0,15308407.20308069
2016-03-12,16226423.0,16481492.613178246
2016-03-13,14556858.0,16408593.623704948
2016-03-14,18492838.0,17803006.222018927
2016-03-15,16685278.0,16563813.642881248
2016-03-16,16183749.0,15850319.227459222
2016-03-17,15908866.0,14987533.309265692
2016-03-18,15777097.0,13574619.336922696
2016-03-19,14413015.0,14753009.878983552
2016-03-20,13909415.0,14737092.21068232
2016-03-21,15172398.0,16190363.697960513
2016-03-22,14357279.0,15083989.864308754
2016-03-23,14993843.0,14518014.476681532
2016-03-24,14497405.0,13826631.76873615
2016-03-25,13982838.0,12612827.748076681
2016-03-26,14474492.0,13956884.108880594
2016-03-27,15221520.0,14137879.079526223
2016-03-28,17284773.0,15766221.353325304
2016-03-29,15595791.0,14882489.906181606
2016-03-30,15188594.0,14525489.73672715
2016-03-31,14398425.0,14037358.568331122
2016-04-01,13487335.0,13024431.869126763
2016-04-02,14954681.0,14506141.854004534
2016-04-03,16058027.0,14827319.30767815
2016-04-04,18037294.0,16547070.805563636
2016-04-05,16885075.0,15777845.150556762
2016-04-06,16909367.0,15500261.423881453
2016-04-07,16722311.0,15067960.791143037
2016-04-08,16070932.0,14094592.462947998
2016-04-09,17020266.0,15542994.624913514
2016-04-10,17212374.0,15828176.980901806
2016-04-11,19063508.0,17462417.399097554
2016-04-12,18295210.0,16634431.065496532
2016-04-13,16976096.0,16270850.460487798
2016-04-14,16991953.0,15740708.835878596
2016-04-15,16504666.0,14668443.84847995
2016-04-16,17083363.0,16181060.391074663
2016-04-17,17425619.0,16553667.920058487
2016-04-18,20037973.0,18307926.658845812
2016-04-19,18423404.0,17559468.024273913
2016-04-20,17561604.0,17278924.014136996
2016-04-21,15592562.0,16818483.6652069
2016-04-22,15472794.0,15770216.53086248
2016-04-23,16562005.0,17283566.17782825
2016-04-24,17652551.0,17583834.344379026
2016-04-25,20040637.0,19381719.715076424
2016-04-26,17659434.0,18509305.628448695
2016-04-27,17517909.0,18156452.64617185
2016-04-28,17816115.0,17628172.495704077
2016-04-29,15845934.0,16487501.128642559
2016-04-30,17081637.0,18102952.50336654
2016-05-01,18068238.0,18432573.54458414
2016-05-02,19573286.0,20372208.757295147
2016-05-03,19030931.0,19466633.353026554
2016-05-04,18587310.0,19121437.103572126
2016-05-05,16659699.0,18591337.084588178
2016-05-06,16300814.0,17407710.798414573
2016-05-07,17104824.0,19156106.122436453
2016-05-08,17722424.0,19525944.97303881
2016-05-09,18985879.0,21597570.826944772
2016-05-10,18590068.0,20628561.25576738
2016-05-11,17745004.0,20241112.430567585
2016-05-12,18189862.0,19641274.624955695
2016-05-13,16602318.0,18331103.97054918
2016-05-14,18003930.0,20116162.581980806
2016-05-15,19054328.0,20420782.019488163
2016-05-16,20803248.0,22513784.3060496
2016-05-17,18862993.0,21369847.074557755
2016-05-18,17854176.0,20832248.290942084
2016-05-19,17541871.0,20062874.716389403
2016-05-20,16041286.0,18538837.79130735
2016-05-21,17775973.0,20289809.651431818
2016-05-22,15507535.0,20478697.350990783
2016-05-23,19364685.0,22565898.565056905
2016-05-24,18364534.0,21245595.538204376
2016-05-25,18672358.0,20583755.623764645
2016-05-26,17790357.0,19698831.610514257
2016-05-27,16244722.0,18042787.203084715
2016-05-28,17901084.0,19868243.45240099
2016-05-29,18901682.0,20074568.953425094
2016-05-30,19457090.0,22310706.843113165
2016-05-31,18935569.0,20986465.289779913
2016-06-01,18631926.0,20385871.46016907
2016-06-02,17209546.0,19578688.96465021
2016-06-03,15813440.0,17986002.6727018
2016-06-04,15521993.0,20077345.77003434
2016-06-05,18777674.0,20482391.856332008
2016-06-06,21736824.0,23032549.495509412
2016-06-07,18980717.0,21847449.98066002
2016-06-08,20001438.0,21423853.786241155
2016-06-09,18861701.0,20778176.234354682
2016-06-10,17676457.0,19296808.583056152
2016-06-11,20168502.0,21663382.532445155
2016-06-12,21434006.0,22236195.424523614
2016-06-13,22732233.0,25028673.048890546
2016-06-14,21461787.0,23871120.797185674
2016-06-15,19409713.0,23475210.967712
2016-06-16,18093754.0,22807505.167619657
2016-06-17,16193568.0,21224459.372320343
2016-06-18,18313316.0,23629732.997253235
2016-06-19,18912180.0,24117215.19358004
2016-06-20,20812973.0,26890187.448136568
2016-06-21,19622820.0,25498137.041284703
2016-06-22,19698158.0,24876596.399918973
2016-06-23,19468127.0,23951411.5792657
2016-06-24,17758379.0,22058165.460281827
2016-06-25,19132966.0,24329257.686651267
2016-06-26,20129247.0,24602258.232180063
2016-06-27,18542864.0,27184664.817000814
2016-06-28,19901311.0,25456309.164895404
2016-06-29,19468000.0,24572572.646549262
2016-06-30,23090169.0,23428084.724945884
2016-07-01,17133730.0,21352851.96798726
2016-07-02,20085346.0,23610367.713746693
2016-07-03,20399942.0,23885049.45514353
2016-07-04,21447888.0,26669228.472977623
2016-07-05,18610671.0,25137532.48951556
2016-07-06,14388489.0,24541800.95811933
2016-07-07,14771731.0,23755181.9380012
2016-07-08,15985818.0,22092385.308212627
2016-07-09,18291216.0,24908134.219846178
2016-07-10,20242552.0,25764108.30761368
2016-07-11,21332995.0,29225681.429556333
2016-07-12,19898144.0,28332791.39054716
2016-07-13,19101411.0,28420733.03333005
2016-07-14,19102792.0,28328813.661927387
2016-07-15,17755744.0,27345064.93215204
2016-07-16,20092874.0,30905352.891276576
2016-07-17,20606170.0,32440117.457451653
2016-07-18,21999661.0,36581114.241138816
2016-07-19,20832368.0,36228985.546256304
2016-07-20,34025866.0,36800097.414012834
2016-07-21,51067835.0,37099866.59533742
2016-07-22,58359891.0,36391987.21783775
2016-07-23,59219097.0,40198196.32251058
2016-07-24,61949971.0,41824746.5779582
2016-07-25,67014393.0,45979030.02665376
2016-07-26,67166302.0,45433671.466937944
2016-07-27,65050173.0,45699177.71093581
2016-07-28,64242255.0,45561656.84695173
2016-07-29,60512119.0,44276239.516276665
2016-07-30,58943010.0,47467146.612017445
2016-07-31,62152630.0,48333517.39013466
2016-08-01,65843652.0,51675522.168033496
2016-08-02,62943516.0,50154579.80591192
2016-08-03,52662001.0,49391425.61326472
2016-08-04,45456402.0,48167844.010537475
2016-08-05,47335973.0,45743929.82864998
2016-08-06,51057249.0,47858136.92775556
2016-08-07,53293937.0,47612182.02141127
2016-08-08,58963124.0,49906415.366500504
2016-08-09,58685739.0,47295986.029713616
2016-08-10,60827085.0,45514211.298810214
2016-08-11,60273975.0,43338267.77159379
2016-08-12,58923420.0,40030301.27665635
2016-08-13,59524218.0,41437528.338463
2016-08-14,59504804.0,40556349.09126728
2016-08-15,62948832.0,42377167.325460546
2016-08-16,56391340.0,39336747.93886023
2016-08-17,24820120.0,37267178.974749975
2016-08-18,22198582.0,34925851.48132665
2016-08-19,20198111.0,31560779.128905844
2016-08-20,23156757.0,33111135.079916395
2016-08-21,23851305.0,32450968.27294441
2016-08-22,25824491.0,34643868.815121464
2016-08-23,25236592.0,31991905.3190851
2016-08-24,24013167.0,30410549.263181806
2016-08-25,22127616.0,28623286.131616548
2016-08-26,20690432.0,25851451.652653124
2016-08-27,23537709.0,28115468.008736487
2016-08-28,24758503.0,28158378.22228643
2016-08-29,26761983.0,31110517.552649487
2016-08-30,26219733.0,29135133.901367072
2016-08-31,24410024.0,28229318.343019463
